accepted_plant_name_id,taxon_name,taxon_authors,cultivation.lin2019,life.form.integrated,WorldCuP.n.tdwg3,nat.extent,nat.incidence,native.global.tdwg3,planting.China.tdwg3
2961847,Prunus setulosa,Batalin,yes,woody,2,0,0,3,2
2962125,Prunus stipulacea,Maxim.,yes,woody,0,0,0,3,1
2962185,Prunus szechuanica,Batalin,yes,woody,0,0,0,3,1
2962201,Prunus tatsienensis,Batalin,yes,woody,7,0,0,3,1
2962226,Prunus tomentosa,Thunb.,yes,woody,27,22,1,6,6
2962248,Prunus trichantha,Koehne,no,woody,0,0,0,2,0
2962252,Prunus trichostoma,Koehne,no,woody,5,0,0,4,0
3236838,Prunus yaoiana,(W.L.Cheng) Y.H.Tong & N.H.Xia,no,NA,0,0,0,1,0
2962426,Prunus yunnanensis,Franch.,yes,woody,0,0,0,2,2
157449,Platostoma calcaratum,(Hemsl.) A.J.Paton,yes,perennial herb,0,0,0,5,1
2711070,Ceratocarpus arenarius,L.,no,annual herb,4,1,1,22,0
2525207,Ranunculus testiculatus,Crantz,no,annual herb,3,27,1,29,0
2711287,Ceratostigma griffithii,C.B.Clarke,yes,woody,15,0,0,2,1
2711288,Ceratostigma minus,Stapf ex Prain,yes,woody,7,0,0,3,1
2711291,Ceratostigma plumbaginoides,Bunge,yes,perennial herb,37,5,1,2,3
2711295,Ceratostigma ulicinum,Prain,no,woody,0,0,0,2,0
2711296,Ceratostigma willmottianum,Stapf,yes,perennial herb,25,0,0,3,4
37037,Ceratostylis hainanensis,Z.H.Tsi,yes,perennial herb,0,0,0,1,5
37039,Ceratostylis himalaica,Hook.f.,yes,perennial herb,1,0,0,8,2
37124,Ceratostylis subulata,Blume,yes,perennial herb,3,0,0,19,5
37166,Cerbera manghas,L.,yes,woody,21,0,0,50,5
37218,Cercidiphyllum japonicum,Siebold & Zucc. ex J.J.Hoffm. & J.H.Schult.bis,yes,woody,58,6,1,4,5
2711415,Cercis chinensis,Bunge,yes,woody,45,1,1,4,5
2711418,Cercis chingii,Chun,yes,woody,4,0,0,1,2
2711419,Cercis chuniana,F.P.Metcalf,yes,woody,2,0,0,2,1
2711425,Cercis glabra,Pamp.,yes,woody,10,0,0,3,3
2711439,Cercis racemosa,Oliv.,yes,woody,9,0,0,3,2
2712632,Ceriops tagal,(Perr.) C.B.Rob.,yes,woody,2,0,0,42,2
502523,Ceropegia aridicola,W.W.Sm.,no,perennial herb,0,0,0,1,0
502601,Ceropegia christenseniana,Hand.-Mazz.,no,perennial herb,0,0,0,1,0
502671,Ceropegia dolichophylla,Schltr.,no,perennial herb,0,0,0,4,0
502675,Ceropegia dryophila,C.K.Schneid.,no,perennial herb,0,0,0,1,0
